,Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,GDP_category,CO2_category,Average_CO2_emission
0,Afghanistan,coal,2015,0.03,0.03,72.06,34414.0,3.67,1.75,2.95,Medium-high,Low,1.5824
1,Afghanistan,natural_gas,2015,0.01,0.01,72.06,34414.0,3.67,1.75,0.28,Medium-high,Low,1.5824
2,Afghanistan,petroleum_n_other_liquids,2015,0.07,0.0,72.06,34414.0,3.67,1.75,3.94,Medium-high,Low,1.5824
3,Afghanistan,nuclear,2015,,,72.06,34414.0,3.67,1.75,0.0,Medium-high,Low,1.5824
4,Afghanistan,renewables_n_other,2015,0.02,0.01,72.06,34414.0,3.67,1.75,0.0,Medium-high,Low,1.5824
5,Albania,coal,2015,0.0,0.0,33.6,2891.0,40.23,3.46,0.31,Medium,Low,0.8228
6,Albania,natural_gas,2015,0.0,0.0,33.6,2891.0,40.23,3.46,0.06,Medium,Low,0.8228
7,Albania,petroleum_n_other_liquids,2015,0.05,0.05,33.6,2891.0,40.23,3.46,3.67,Medium,Low,0.8228
8,Albania,nuclear,2015,,,33.6,2891.0,40.23,3.46,0.0,Medium,Low,0.8228
9,Albania,renewables_n_other,2015,0.06,0.05,33.6,2891.0,40.23,3.46,0.0,Medium,Low,0.8228
10,Algeria,coal,2015,0.0,0.0,477.36,39728.0,59.2,4.93,0.83,High,Low,27.6464
11,Algeria,natural_gas,2015,1.49,3.11,477.36,39728.0,59.2,4.93,77.81,High,Low,27.6464
12,Algeria,petroleum_n_other_liquids,2015,0.86,3.58,477.36,39728.0,59.2,4.93,53.05,High,Low,27.6464
13,Algeria,nuclear,2015,,,477.36,39728.0,59.2,4.93,0.0,High,Low,27.6464
14,Algeria,renewables_n_other,2015,0.01,0.0,477.36,39728.0,59.2,4.93,0.0,High,Low,27.6464
15,American Samoa,coal,2015,0.0,0.0,0.66,56.0,88.0,7.43,0.0,Low,Low,0.072
16,American Samoa,natural_gas,2015,0.0,0.0,0.66,56.0,88.0,7.43,0.0,Low,Low,0.072
17,American Samoa,petroleum_n_other_liquids,2015,0.0,0.0,0.66,56.0,88.0,7.43,0.36,Low,Low,0.072
18,American Samoa,nuclear,2015,,,0.66,56.0,88.0,7.43,0.0,Low,Low,0.072
19,American Samoa,renewables_n_other,2015,0.0,0.0,0.66,56.0,88.0,7.43,0.0,Low,Low,0.072
20,Angola,coal,2015,0.0,0.0,204.6,27884.0,14.32,1.95,0.0,Medium-high,Low,4.1296
21,Angola,natural_gas,2015,0.03,0.03,204.6,27884.0,14.32,1.95,0.45,Medium-high,Low,4.1296
22,Angola,petroleum_n_other_liquids,2015,0.32,3.87,204.6,27884.0,14.32,1.95,21.29,Medium-high,Low,4.1296
23,Angola,nuclear,2015,,,204.6,27884.0,14.32,1.95,0.0,Medium-high,Low,4.1296
24,Angola,renewables_n_other,2015,0.05,0.05,204.6,27884.0,14.32,1.95,0.0,Medium-high,Low,4.1296
25,Antigua and Barbuda,coal,2015,0.0,0.0,1.77,94.0,110.98,5.87,0.0,Low,Low,0.1472
26,Antigua and Barbuda,natural_gas,2015,0.0,0.0,1.77,94.0,110.98,5.87,0.0,Low,Low,0.1472
27,Antigua and Barbuda,petroleum_n_other_liquids,2015,0.01,0.0,1.77,94.0,110.98,5.87,0.72,Low,Low,0.1472
28,Antigua and Barbuda,nuclear,2015,,,1.77,94.0,110.98,5.87,0.0,Low,Low,0.1472
29,Antigua and Barbuda,renewables_n_other,2015,0.0,0.0,1.77,94.0,110.98,5.87,0.0,Low,Low,0.1472
30,Argentina,coal,2015,0.04,0.0,867.71,43129.0,88.82,4.41,4.12,High,Low,40.4844
31,Argentina,natural_gas,2015,1.73,1.34,867.71,43129.0,88.82,4.41,92.18,High,Low,40.4844
32,Argentina,petroleum_n_other_liquids,2015,1.63,1.32,867.71,43129.0,88.82,4.41,101.03,High,Medium,40.4844
33,Argentina,nuclear,2015,0.08,0.08,867.71,43129.0,88.82,4.41,0.0,High,Low,40.4844
34,Argentina,renewables_n_other,2015,0.35,0.4,867.71,43129.0,88.82,4.41,0.0,High,Low,40.4844
35,Armenia,coal,2015,0.0,0.0,29.17,2926.0,47.43,4.76,0.0,Medium,Low,1.1248
36,Armenia,natural_gas,2015,0.08,0.0,29.17,2926.0,47.43,4.76,4.9,Medium,Low,1.1248
37,Armenia,petroleum_n_other_liquids,2015,0.02,0.0,29.17,2926.0,47.43,4.76,1.08,Medium,Low,1.1248
38,Armenia,nuclear,2015,0.03,0.03,29.17,2926.0,47.43,4.76,0.0,Medium,Low,1.1248
39,Armenia,renewables_n_other,2015,0.02,0.02,29.17,2926.0,47.43,4.76,0.0,Medium,Low,1.1248
40,Aruba,coal,2015,0.0,0.0,3.08,104.0,176.62,5.99,0.0,Low,Low,0.2432
41,Aruba,natural_gas,2015,0.0,0.0,3.08,104.0,176.62,5.99,0.0,Low,Low,0.2432
42,Aruba,petroleum_n_other_liquids,2015,0.02,0.0,3.08,104.0,176.62,5.99,1.21,Low,Low,0.2432
43,Aruba,nuclear,2015,,,3.08,104.0,176.62,5.99,0.0,Low,Low,0.2432
44,Aruba,renewables_n_other,2015,0.0,0.0,3.08,104.0,176.62,5.99,0.0,Low,Low,0.2432
45,Australia,coal,2015,1.78,12.09,1113.0,23859.0,242.16,5.19,162.33,High,Medium,80.666
46,Australia,natural_gas,2015,1.44,2.5,1113.0,23859.0,242.16,5.19,75.23,High,Low,80.666
47,Australia,petroleum_n_other_liquids,2015,2.27,0.73,1113.0,23859.0,242.16,5.19,149.5,High,Medium,80.666
48,Australia,nuclear,2015,,,1113.0,23859.0,242.16,5.19,0.0,High,Low,80.666
49,Australia,renewables_n_other,2015,0.29,0.32,1113.0,23859.0,242.16,5.19,0.0,High,Low,80.666
50,Austria,coal,2015,0.09,0.0,431.08,8657.0,165.02,3.31,11.21,High,Low,12.7304
51,Austria,natural_gas,2015,0.3,0.05,431.08,8657.0,165.02,3.31,15.08,High,Low,12.7304
52,Austria,petroleum_n_other_liquids,2015,0.54,0.04,431.08,8657.0,165.02,3.31,34.86,High,Low,12.7304
